server,jreVersion,tcNativeVersion,clientAuth,serverCert,clientCert,cipher,resumption,enabledExtendedMasterSecret,openSSLClientVersion,page,connections/duration,duration,bytes/connection
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,true,1.0.2p,huge,182,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,true,1.0.2p,large,1363,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,true,1.0.2p,medium,4315,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,true,1.0.2p,small,4910,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,true,1.1.1,-,4918,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,true,1.1.1,huge,187,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,true,1.1.1,large,1347,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,true,1.1.1,medium,4010,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,true,1.1.1,small,4440,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,true,1.0.2p,-,50922,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,true,1.0.2p,huge,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,true,1.0.2p,large,13,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,true,1.0.2p,medium,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,true,1.0.2p,small,7,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,true,1.1.1,-,35429,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,true,1.1.1,huge,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,true,1.1.1,large,3,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,true,1.1.1,medium,3,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,true,1.1.1,small,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,true,1.0.2p,-,4794,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,true,1.0.2p,huge,177,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,true,1.0.2p,large,1272,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,true,1.0.2p,medium,3869,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,true,1.0.2p,small,4352,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,true,1.1.1,-,4815,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,true,1.1.1,huge,178,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,true,1.1.1,large,1273,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,true,1.1.1,medium,3725,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,true,1.1.1,small,3870,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,true,1.0.2p,-,51689,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,true,1.0.2p,huge,5,61,83886192
